t;fuego;arboles;vacios
1;157744;261750;629082
2;124979;314818;608779
3;100350;519367;428859
4;139865;593887;314824
5;202376;548409;297791
6;248034;449393;351149
7;242066;383704;422806
8;202097;393771;452708
9;180317;439299;428960
10;191532;462220;394824
11;212926;446582;389068
12;221722;419738;407116
13;215269;408105;425202
14;204279;416534;427763
15;201480;429057;418039
16;207258;430772;410546
17;212508;423610;412458
18;212621;417253;418702
19;209412;417339;421825
20;207018;421142;420416
21;207041;424228;417307
22;209278;424236;415062
23;210646;420949;416981
24;210165;419719;418692
25;209077;420690;418809
26;209126;420805;418645
27;209203;420812;418561
28;208967;421367;418242
29;209940;420803;417833
30;210019;419838;418719
31;209251;420181;419144
32;208872;420609;419095
33;209219;420561;418796
34;208809;420951;418816
35;208935;421436;418205
36;209399;420755;418422
37;209286;420762;418528
38;208790;420896;418890
39;209569;421053;417954
40;209706;421014;417856
41;209670;420637;418269
42;209047;420252;419277
43;209111;420228;419237
44;208656;420772;419148
45;208854;420991;418731
46;208680;421826;418070
47;209219;421759;417598
48;209740;420601;418235
49;209638;420010;418928
50;208952;419936;419688
51;208277;421530;418769
52;208437;422429;417710
53;209688;421830;417058
54;209883;420133;418560
55;209199;420622;418755
56;208455;421557;418564
57;208755;421830;417991
58;209552;421020;418004
59;209212;420183;419181
60;208323;421581;418672
61;208620;422716;417240
62;209224;422543;416809
63;209364;421390;417822
64;209301;421403;417872
65;208753;421528;418295
66;208810;421423;418343
67;208794;421843;417939
68;209225;421247;418104
69;209056;420778;418742
70;208721;421242;418613
71;208822;421561;418193
72;208942;421401;418233
73;208865;421680;418031
74;208733;421460;418383
75;208526;422096;417954
76;208766;422551;417259
77;209375;422183;417018
78;209720;420799;418057
79;209344;420461;418771
80;208963;421059;418554
81;208969;421573;418034
82;209234;421984;417358
83;209433;421289;417854
84;208453;422036;418087
85;208709;421875;417992
86;209010;421997;417569
87;209082;421621;417873
88;209208;421427;417941
89;208953;421373;418250
90;208968;422123;417485
91;209391;421435;417750
92;209468;420318;418790
93;208735;421400;418441
94;208713;422146;417717
95;209108;422346;417122
96;209766;420804;418006
97;209284;420766;418526
98;208757;420991;418828
99;208531;422095;417950
100;208664;422184;417728
101;209221;421611;417744
102;208702;422128;417746
103;208428;422431;417717
104;209398;422270;416908
105;209313;421202;418061
106;208924;421556;418096
107;209053;421411;418112
108;208792;421214;418570
109;208578;421510;418488
110;208387;422420;417769
111;208329;423109;417138
112;208864;422808;416904
113;209052;422416;417108
114;209055;421606;417915
115;208685;422377;417514
116;208283;422314;417979
117;208715;423194;416667
118;209585;421737;417254
119;209535;420701;418340
120;208580;421325;418671
121;207887;422701;417988
122;208326;423255;416995
123;209067;422680;416829
124;209263;421717;417596
125;208866;422052;417658
126;208667;422094;417815
127;208776;421621;418179
128;209018;422115;417443
129;208874;422198;417504
130;209293;422128;417155
131;209484;421646;417446
132;208814;421421;418341
133;208490;422352;417734
134;208257;422724;417595
135;208776;423151;416649
136;209684;421643;417249
137;209577;420697;418302
138;208962;420516;419098
139;208153;421839;418584
140;208471;422488;417617
141;208996;422485;417095
142;209010;422181;417385
143;209442;421709;417425
144;209474;421139;417963
145;209342;420911;418323
146;208773;421210;418593
147;208772;421022;418782
148;208447;421834;418295
149;208526;422582;417468
150;209126;422290;417160
1;157166;262827;628583
2;125294;314368;608914
3;100513;519083;428980
4;140677;592724;315175
5;202985;547335;298256
6;248533;448038;352005
7;241467;382635;424474
8;201142;393864;453570
9;179689;440801;428086
10;191139;463541;393896
11;213406;447045;388125
12;222638;418607;407331
13;214591;407183;426802
14;203140;417442;427994
15;200476;430626;417474
16;206955;432735;408886
17;213496;422992;412088
18;212983;415761;419832
19;208901;416722;422953
20;206199;421620;420757
21;207424;424648;416504
22;209697;423079;415800
23;210741;420216;417619
24;210142;419552;418882
25;209246;419834;419496
26;208735;420778;419063
27;209208;421101;418267
28;209666;420266;418644
29;209933;419493;419150
30;209307;419956;419313
31;209157;420212;419207
32;208481;421065;419030
33;209399;421762;417415
34;210206;420339;418031
35;209370;419800;419406
36;208551;420955;419070
37;208293;421788;418495
38;208782;422457;417337
39;209423;421725;417428
40;209460;421121;417995
41;209042;420978;418556
42;209012;421101;418463
43;209096;420990;418490
44;208674;421529;418373
45;209276;421808;417492
46;209014;421604;417958
47;209633;420938;418005
48;209686;421010;417880
49;209275;420512;418789
50;208978;420699;418899
51;208981;421519;418076
52;209243;421383;417950
53;208961;421998;417617
54;209472;421226;417878
55;208967;421239;418370
56;208894;421719;417963
57;209286;421095;418195
58;209310;420670;418596
59;209228;420453;418895
60;208880;421467;418229
61;208667;422000;417909
62;208527;422585;417464
63;209867;421059;417650
