P= 0.100000;
L= 64;
Repeticiones= 100;
Pasos= 100;
;
Tamano;Cantidad
1;175
2;36
3;19
4;9
5;6
6;8
7;5
8;1
9;2
10;2
11;1
13;1
14;2
15;1
16;1
18;2
19;2
20;1
22;1
24;1
28;1
31;1
33;1
35;1
90;1
143;1
235;1
253;1
255;1
1;162
2;38
3;16
4;11
5;5
6;2
7;8
8;5
9;4
10;4
11;1
12;3
14;1
16;1
18;1
19;1
20;2
22;1
25;1
26;1
29;1
31;1
32;1
41;1
47;1
49;1
63;1
75;1
93;1
107;1
112;1
119;1
164;1
1;153
2;44
3;22
4;10
5;8
6;5
7;7
8;8
9;1
11;1
13;2
14;2
16;2
17;4
18;1
19;2
20;1
21;1
24;1
25;1
26;1
27;2
33;1
35;1
39;1
47;1
80;1
109;1
123;1
167;1
196;1
1;166
2;54
3;20
4;20
5;8
6;3
7;2
8;3
9;2
11;2
12;3
13;2
14;1
16;1
17;1
19;1
21;1
23;1
25;1
27;1
31;1
33;1
44;1
46;1
68;1
76;1
81;1
147;1
160;1
264;1
1;174
2;36
3;36
4;14
5;5
6;4
7;5
9;5
10;1
11;3
13;1
14;1
15;2
17;1
18;1
24;1
27;1
35;1
38;1
46;1
53;1
54;1
56;1
62;1
88;1
89;1
123;1
236;1
1;184
2;39
3;21
4;18
5;10
6;9
7;6
8;5
9;1
10;3
11;2
12;1
14;3
15;1
16;2
17;2
18;1
19;1
22;1
23;1
24;1
25;1
30;2
34;1
41;1
43;1
47;1
50;2
51;1
56;1
71;1
105;1
1;155
2;43
3;20
4;11
5;7
6;7
7;9
8;3
9;6
10;4
11;3
12;1
13;3
14;1
16;1
18;2
19;3
21;1
26;1
34;1
42;1
44;1
51;1
65;1
109;1
168;1
271;1
1;142
2;36
3;12
4;16
5;7
6;9
7;5
8;3
9;4
10;3
11;1
15;1
16;1
17;1
18;1
22;1
25;5
27;1
36;1
42;1
51;1
66;1
76;1
138;1
255;1
289;1
1;157
2;33
3;21
4;7
5;5
6;7
7;3
8;7
9;3
10;3
12;3
14;1
15;4
18;1
22;1
25;1
27;1
29;1
31;1
37;1
