t;fuego;arboles;vacios
1;625;990;2481
2;483;748;2865
3;248;787;3061
4;144;943;3009
5;125;1120;2851
6;108;1264;2724
7;79;1437;2580
8;76;1610;2410
9;74;1770;2252
10;75;1919;2102
11;79;2037;1980
12;80;2179;1837
13;94;2273;1729
14;105;2327;1664
15;107;2382;1607
16;128;2414;1554
17;149;2420;1527
18;184;2398;1514
19;228;2318;1550
20;265;2207;1624
21;271;2082;1743
22;276;1996;1824
23;268;1923;1905
24;256;1865;1975
25;267;1785;2044
26;233;1764;2099
27;211;1756;2129
28;213;1759;2124
29;201;1803;2092
30;209;1781;2106
31;209;1786;2101
32;205;1786;2105
33;212;1745;2139
34;191;1768;2137
35;193;1796;2107
36;213;1803;2080
37;217;1787;2092
38;218;1779;2099
39;219;1762;2115
40;229;1737;2130
41;224;1712;2160
42;243;1685;2168
43;226;1655;2215
44;248;1617;2231
45;267;1587;2242
46;240;1572;2284
47;216;1581;2299
48;194;1624;2278
49;173;1672;2251
50;177;1726;2193
1;181;1748;2167
2;187;1767;2142
3;194;1781;2121
4;195;1773;2128
5;185;1811;2100
6;184;1842;2070
7;182;1855;2059
8;200;1847;2049
9;204;1849;2043
10;198;1827;2071
11;216;1828;2052
12;240;1814;2042
13;266;1744;2086
14;287;1639;2170
15;264;1580;2252
16;230;1572;2294
17;212;1584;2300
18;202;1602;2292
19;213;1602;2281
20;218;1615;2263
21;212;1622;2262
22;208;1647;2241
23;197;1671;2228
24;194;1712;2190
25;175;1743;2178
26;169;1803;2124
27;170;1846;2080
28;170;1898;2028
29;178;1913;2005
30;216;1898;1982
31;241;1854;2001
32;250;1827;2019
33;271;1768;2057
34;272;1696;2128
35;275;1624;2197
36;253;1609;2234
37;242;1583;2271
38;234;1574;2288
39;235;1584;2277
40;244;1555;2297
41;255;1509;2332
42;238;1517;2341
43;217;1530;2349
44;216;1545;2335
45;192;1587;2317
46;181;1614;2301
47;177;1669;2250
48;182;1723;2191
49;189;1748;2159
50;190;1768;2138
