Tamaño    Cantidad
1         175
2         52
3         22
4         16
5         11
6         8
7         3
8         7
9         2
10         3
11         2
12         2
13         2
14         3
15         1
18         1
19         1
20         1
21         1
22         1
23         1
28         1
30         1
31         2
34         1
38         1
46         1
53         1
63         1
69         1
227         1
Tamaño    Cantidad
1         149
2         46
3         21
4         16
5         14
6         5
7         3
8         4
9         4
10         1
11         3
12         2
13         3
14         3
15         1
17         1
19         2
20         2
21         1
25         1
33         1
39         1
49         1
63         1
65         1
89         1
135         1
154         1
198         1
Tamaño    Cantidad
1         173
2         46
3         20
4         12
5         9
6         11
7         4
8         5
9         4
10         1
11         3
13         4
14         1
15         3
16         1
18         1
19         1
20         1
28         1
29         1
30         1
31         1
39         1
45         2
56         1
59         1
61         1
132         1
224         1
Tamaño    Cantidad
1         154
2         41
3         22
4         15
5         11
6         9
7         4
8         5
9         3
10         3
11         1
12         2
13         1
15         1
21         1
22         1
23         1
28         1
39         2
49         1
62         1
63         1
75         1
103         1
156         1
198         1
210         1
Tamaño    Cantidad
1         173
2         35
3         28
4         6
5         9
6         5
7         6
8         3
9         5
10         3
11         1
13         1
14         2
15         1
16         1
18         1
19         1
20         2
26         1
27         1
29         1
30         1
31         1
46         1
60         1
63         1
77         1
80         1
94         1
121         1
322         1
Tamaño    Cantidad
1         179
2         37
3         24
4         7
5         9
6         7
7         11
8         3
9         2
10         3
11         6
12         3
14         1
15         1
16         1
17         3
18         1
22         1
24         2
25         1
26         1
33         1
35         1
40         1
44         1
45         1
56         1
58         1
111         1
290         1
Tamaño    Cantidad
1         164
2         41
3         25
4         11
5         8
6         5
7         3
8         5
9         3
10         1
11         3
12         2
14         3
15         3
16         2
18         2
19         3
21         2
24         1
25         1
26         1
30         1
31         1
32         1
38         1
49         1
50         1
51         1
98         1
120         1
227         1
Tamaño    Cantidad
1         230
2         44
3         17
4         10
5         1
6         1
7         1
8         1
9         2
Tamaño    Cantidad
1         218
2         38
3         16
4         4
5         2
7         1
Tamaño    Cantidad
1         172
2         63
3         27
4         15
5         14
6         5
7         4
8         3
9         3
10         1
11         2
13         2
14         1
16         2
17         2
18         1
19         1
20         1
21         1
22         1
24         2
27         2
30         1
31         1
39         1
51         1
101         1
107         1
117         1
168         1
Tamaño    Cantidad
1         167
2         34
3         21
4         11
5         7
6         12
7         4
8         1
9         4
10         3
11         1
19         2
21         1
22         1
23         1
25         1
27         1
29         1
32         3
42         2
44         1
46         1
54         1
73         1
74         1
130         1
175         1
268         1
Tamaño    Cantidad
1         123
2         22
3         9
4         6
5         1
7         1
Tamaño    Cantidad
1         144
2         23
3         9
4         6
5         1
7         1
Tamaño    Cantidad
1         118
2         13
3         6
4         2
5         2
6         3
Tamaño    Cantidad
1         126
2         22
3         6
4         3
5         2
6         2
Tamaño    Cantidad
1         128
2         29
3         6
4         2
5         1
6         2
7         1
Tamaño    Cantidad
1         122
2         24
3         7
4         3
6         1
7         1
11         1
Tamaño    Cantidad
1         123
2         40
3         30
4         22
5         16
6         15
7         11
8         7
9         6
10         7
11         3
12         5
13         1
15         2
16         1
17         1
18         1
19         1
21         1
23         1
24         3
25         1
26         1
27         2
28         1
30         1
31         1
34         1
35         1
36         1
38         1
39         1
41         2
61         1
76         1
Tamaño    Cantidad
1         144
2         24
3         12
4         2
Tamaño    Cantidad
1         189
2         65
3         41
4         23
5         17
6         13
7         8
8         5
9         6
10         2
11         2
12         3
14         3
15         1
16         2
17         1
19         3
20         2
21         1
22         1
23         2
25         2
27         1
28         1
30         1
35         1
36         1
39         2
48         1
49         1
53         1
56         1
Tamaño    Cantidad
1         184
2         41
3         18
4         13
5         6
6         7
7         4
8         3
9         1
10         3
11         2
12         1
14         2
15         3
16         2
17         2
18         1
20         1
22         1
23         2
24         1
25         1
27         1
28         1
29         1
36         1
47         1
83         1
122         1
128         1
135         1
173         1
Tamaño    Cantidad
1         183
2         41
3         18
4         12
5         7
6         6
7         6
9         2
10         5
11         1
12         1
14         1
15         1
16         2
17         3
19         2
22         1
23         1
24         1
25         1
28         1
30         1
31         1
35         1
37         2
41         1
94         1
144         1
156         1
203         1
Tamaño    Cantidad
1         182
2         36
3         28
4         10
5         6
6         3
7         4
8         5
9         3
11         3
12         1
13         1
14         1
15         1
17         1
19         1
20         2
21         1
27         1
29         1
35         1
40         2
55         1
78         1
90         1
96         1
116         1
151         1
213         1
Tamaño    Cantidad
1         172
2         53
3         22
4         14
5         11
6         7
7         7
8         4
10         3
11         3
13         1
14         3
16         3
17         1
18         4
20         1
21         2
22         1
25         3
31         2
37         1
38         1
59         1
62         2
74         1
104         1
170         1
Tamaño    Cantidad
1         182
2         60
3         34
4         30
5         15
6         16
7         9
8         6
9         8
10         6
11         7
12         2
13         6
14         3
15         1
16         3
18         1
19         1
20         1
21         1
22         3
23         1
25         1
27         1
39         1
45         1
56         1
103         1
Tamaño    Cantidad
1         183
2         62
3         36
4         20
5         16
6         17
7         13
8         6
9         8
10         4
11         5
12         3
13         4
14         5
15         3
16         3
17         1
18         4
19         1
20         1
24         1
26         1
30         1
31         1
35         1
36         1
39         1
42         1
52         1
Tamaño    Cantidad
1         163
2         56
3         33
4         23
5         22
6         14
7         11
8         8
9         4
10         2
11         4
12         2
13         1
14         1
15         1
16         1
17         1
18         3
19         3
20         2
21         2
23         3
24         1
26         1
27         1
28         2
30         2
46         1
50         1
53         1
87         1
Tamaño    Cantidad
1         165
2         50
3         24
4         12
5         7
6         10
7         3
8         2
9         2
10         6
11         1
12         1
13         2
14         1
18         3
20         2
22         1
25         1
27         1
28         2
32         2
41         1
53         1
100         1
101         1
201         1
242         1
Tamaño    Cantidad
1         166
2         33
3         14
4         13
5         7
6         5
7         9
8         6
9         2
10         1
11         3
12         2
18         1
19         1
20         2
22         1
25         1
28         1
32         2
54         1
62         1
77         1
94         1
203         1
494         1
Tamaño    Cantidad
1         208
2         43
3         23
4         14
5         8
6         6
7         3
8         4
9         4
10         3
11         1
12         3
13         1
14         5
17         1
23         1
27         1
44         1
46         1
52         1
78         1
81         1
101         1
207         1
212         1
Tamaño    Cantidad
1         12
2         3
3         9
4         1
5         3
6         2
7         1
8         1
12         2
13         1
14         1
15         4
16         2
17         2
18         4
19         2
21         4
22         2
23         4
24         1
25         1
26         1
28         3
29         2
30         2
31         1
36         1
38         3
40         2
41         1
43         2
49         1
50         1
57         2
64         7
Tamaño    Cantidad
1         11
2         15
3         6
4         5
5         8
6         10
7         4
8         7
9         6
10         4
11         2
12         3
14         4
15         2
16         3
17         2
18         2
19         1
20         3
21         4
23         1
25         1
26         1
28         3
29         2
30         2
31         5
33         2
35         1
36         2
39         1
41         1
45         1
46         1
50         2
54         1
64         2
Tamaño    Cantidad
1         435
2         125
3         81
4         31
5         18
6         16
7         5
8         2
9         3
10         1
12         1
13         1
Tamaño    Cantidad
1         167
2         35
3         48
4         26
5         9
6         16
7         18
8         9
9         7
10         5
11         4
12         2
13         2
15         3
16         2
17         3
18         2
19         2
20         1
21         2
25         2
26         1
27         1
28         1
29         1
31         1
33         1
37         1
38         1
42         2
Tamaño    Cantidad
1         165
2         49
3         31
4         26
5         14
6         15
7         7
8         6
9         7
10         4
11         6
12         4
13         2
14         1
15         3
16         2
17         4
18         1
19         3
20         1
21         2
22         1
24         4
25         1
26         1
28         2
29         1
30         1
36         1
47         1
48         1
Tamaño    Cantidad
1         180
2         51
3         49
4         20
5         16
6         16
7         13
8         9
9         9
10         5
11         4
12         3
13         1
14         2
15         1
17         1
18         1
21         3
24         1
25         1
26         1
28         3
30         1
31         2
44         1
58         1
88         1
Tamaño    Cantidad
1         170
2         53
3         39
4         26
5         18
6         12
7         10
8         13
9         9
10         6
12         4
13         4
14         4
15         3
16         1
17         1
18         3
19         3
20         2
21         3
22         3
24         1
25         2
26         1
30         2
42         1
Tamaño    Cantidad
1         189
2         65
3         51
4         33
5         17
6         16
7         8
8         3
9         5
10         9
11         2
12         3
13         4
15         1
16         1
17         1
18         2
19         2
20         1
21         3
23         1
24         1
30         1
31         2
34         2
36         1
44         1
Tamaño    Cantidad
1         168
2         47
3         37
4         18
5         19
6         17
7         8
8         9
9         6
10         5
11         3
12         4
13         3
15         2
16         2
17         2
18         2
19         2
22         2
23         1
24         5
28         2
31         3
33         1
36         1
45         1
87         1
Tamaño    Cantidad
1         164
2         62
3         27
4         21
5         22
6         14
7         12
8         5
9         8
10         3
11         7
12         5
13         6
14         1
15         3
17         1
19         2
20         1
21         2
22         2
23         1
25         1
26         1
28         1
29         1
31         1
32         1
34         1
45         1
61         1
69         1
Tamaño    Cantidad
1         171
2         56
3         34
4         23
5         15
6         18
7         15
8         11
9         7
10         5
11         3
12         2
13         7
14         4
15         5
17         2
18         2
21         1
23         1
